"model_forecast_date","commodity","futures_model_type","futures_exchange","marketing_year","MYA_price_model_forecast","MYA_price_WASDE_forecast","WASDE_forecast_date","target_price","national_loan_rate","direct_payment_rate","reference_price","CCP_effective_price_model_forecast","CCP_rate_model_forecast","CCP_effective_price_WASDE_forecast","CCP_rate_WASDE_forecast","historical_MYA_price_year1","historical_MYA_price_year2","historical_MYA_price_year3","historical_MYA_price_year4","historical_MYA_price_year5","historical_MYA_5year_range","historical_MYA_price_5year_Olympic_average","effective_reference_price","effective_price_model_forecast","PLC_payment_rate_model_forecast","effective_price_WASDE_forecast","PLC_payment_rate_WASDE_forecast","maximum_PLC_payment_rate","ARC_annual_benchmark_price_year1","ARC_annual_benchmark_price_year2","ARC_annual_benchmark_price_year3","ARC_annual_benchmark_price_year4","ARC_annual_benchmark_price_year5","ARC_annual_benchmark_price_5year_range","ARC_CO_benchmark_price","ARC_CO_price_model_forecast","ARC_CO_price_WASDE_forecast","ARC_IC_price_model_forecast","ARC_IC_price_WASDE_forecast","actual_MYA_price","price_unit"
2003-06-26,"Wheat","Single contract","CBOT",2002,3.614312,3.56,"6/11/2003",3.86,2.8,0.52,NA,4.134312,0,4.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,"U.S. dollars per bushel"
2003-06-26,"Wheat","Single contract","CBOT",2003,3.097732,3.2,"6/11/2003",3.86,2.8,0.52,NA,3.617732,0.242268,3.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-07-03,"Corn","Single contract","CBOT",2002,2.285479,2.3,"6/11/2003",2.6,1.98,0.28,NA,2.565479,0.034521,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-07-03,"Corn","Single contract","CBOT",2003,2.084344,2.1,"6/11/2003",2.6,1.98,0.28,NA,2.364344,0.235656,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-07-03,"Soybeans","Single contract","CBOT",2002,5.535663,5.5,"6/11/2003",5.8,5,0.44,NA,5.975663,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-07-03,"Soybeans","Single contract","CBOT",2003,5.330389,4.95,"6/11/2003",5.8,5,0.44,NA,5.770389,0.029611,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-07-03,"Wheat","Single contract","CBOT",2003,3.213858,3.2,"6/11/2003",3.86,2.8,0.52,NA,3.733858,0.126142,3.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-07-10,"Corn","Single contract","CBOT",2002,2.274125,2.3,"6/11/2003",2.6,1.98,0.28,NA,2.554125,0.045875,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-07-10,"Corn","Single contract","CBOT",2003,2.041837,2.1,"6/11/2003",2.6,1.98,0.28,NA,2.321837,0.278163,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-07-10,"Soybeans","Single contract","CBOT",2002,5.519355,5.5,"6/11/2003",5.8,5,0.44,NA,5.959355,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-07-10,"Soybeans","Single contract","CBOT",2003,5.169344,4.95,"6/11/2003",5.8,5,0.44,NA,5.609344,0.190656,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-07-10,"Wheat","Single contract","CBOT",2003,3.215063,3.2,"6/11/2003",3.86,2.8,0.52,NA,3.735063,0.124937,3.72,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-07-17,"Corn","Single contract","CBOT",2002,2.261989,2.3,"7/11/2003",2.6,1.98,0.28,NA,2.541989,0.058011,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-07-17,"Corn","Single contract","CBOT",2003,1.9958,2.1,"7/11/2003",2.6,1.98,0.28,NA,2.2758,0.3242,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-07-17,"Soybeans","Single contract","CBOT",2002,5.490245,5.5,"7/11/2003",5.8,5,0.44,NA,5.930245,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-07-17,"Soybeans","Single contract","CBOT",2003,5.03813,4.85,"7/11/2003",5.8,5,0.44,NA,5.47813,0.32187,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-07-17,"Wheat","Single contract","CBOT",2003,3.332218,3.1,"7/11/2003",3.86,2.8,0.52,NA,3.852218,0.007782,3.62,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-07-24,"Corn","Single contract","CBOT",2002,2.259248,2.3,"7/11/2003",2.6,1.98,0.28,NA,2.539248,0.060752,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-07-24,"Corn","Single contract","CBOT",2003,1.996045,2.1,"7/11/2003",2.6,1.98,0.28,NA,2.276045,0.323955,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-07-24,"Soybeans","Single contract","CBOT",2002,5.469917,5.5,"7/11/2003",5.8,5,0.44,NA,5.909917,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-07-24,"Soybeans","Single contract","CBOT",2003,4.991137,4.85,"7/11/2003",5.8,5,0.44,NA,5.44,0.36,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-07-24,"Wheat","Single contract","CBOT",2003,3.480121,3.1,"7/11/2003",3.86,2.8,0.52,NA,4.000121,0,3.62,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-07-31,"Corn","Single contract","CBOT",2002,2.279344,2.3,"7/11/2003",2.6,1.98,0.28,NA,2.559344,0.040656,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-07-31,"Corn","Single contract","CBOT",2003,2.001045,2.1,"7/11/2003",2.6,1.98,0.28,NA,2.281045,0.318955,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
2003-07-31,"Soybeans","Single contract","CBOT",2002,5.500037,5.5,"7/11/2003",5.8,5,0.44,NA,5.940037,0,5.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"U.S. dollars per bushel"
2003-07-31,"Soybeans","Single contract","CBOT",2003,4.948752,4.85,"7/11/2003",5.8,5,0.44,NA,5.44,0.36,5.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,"U.S. dollars per bushel"
2003-07-31,"Wheat","Single contract","CBOT",2003,3.453801,3.1,"7/11/2003",3.86,2.8,0.52,NA,3.973801,0,3.62,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,"U.S. dollars per bushel"
2003-08-07,"Corn","Single contract","CBOT",2002,2.284544,2.3,"7/11/2003",2.6,1.98,0.28,NA,2.564544,0.035456,2.58,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,"U.S. dollars per bushel"
2003-08-07,"Corn","Single contract","CBOT",2003,2.070407,2.1,"7/11/2003",2.6,1.98,0.28,NA,2.350407,0.249593,2.38,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,"U.S. dollars per bushel"
